Order	Line_item	Date	Creative	Order_ID	Line_item_ID	Creative_ID	Agency_ID	Line_item_start_date	Line_item_end_date	Rate__	Goal_quantity	Total_impressions	Total_clicks	Total_CTR	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287986-1_RON_Now_Mobile iPhone Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA (Wilmington-550)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_wilmington_cloudy day_320x50_20316	383538737	207963137	83335425377	-	2/3/2016	3/13/2016	14	24296	462	2	0.0043	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287987-1_RON_Now_Mobile Android Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA(Wilmington-550)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_wilmington_rainy day_320x50_20316	383538737	207963377	83335409297	-	2/3/2016	3/13/2016	14	24314	22	1	0.0455	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287987-1_RON_Now_Mobile Android Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA(Wilmington-550)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_wilmington_sunny_320x50_20316	383538737	207963377	83335412177	-	2/3/2016	3/13/2016	14	24314	21	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287987-1_RON_Now_Mobile Android Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA(Wilmington-550)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_wilmington_cloudy day_320x50_20316	383538737	207963377	83335425377	-	2/3/2016	3/13/2016	14	24314	516	4	0.0078	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287988-1_RON_Now_Mobile iPhone Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Wilmington-550)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_wilmington_clear_320x50_20416	383538737	207963617	83411282897	-	2/3/2016	3/13/2016	14	8542	125	1	0.008	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287988-1_RON_Now_Mobile iPhone Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Wilmington-550)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_wilmington_rainy night_320x50_20416	383538737	207963617	83411283617	-	2/3/2016	3/13/2016	14	8542	3	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287988-1_RON_Now_Mobile iPhone Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Wilmington-550)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_wilmington_cloudy night_320x50_20416	383538737	207963617	83411284697	-	2/3/2016	3/13/2016	14	8542	18	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287989-1_RON_Now_Mobile Android Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Wilmington-550)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_wilmington_clear_320x50_20416	383538737	207963857	83411282897	-	2/3/2016	3/13/2016	14	8542	103	1	0.0097	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287989-1_RON_Now_Mobile Android Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Wilmington-550)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_wilmington_rainy night_320x50_20416	383538737	207963857	83411283617	-	2/3/2016	3/13/2016	14	8542	17	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287989-1_RON_Now_Mobile Android Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Wilmington-550)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_wilmington_cloudy night_320x50_20416	383538737	207963857	83411284697	-	2/3/2016	3/13/2016	14	8542	31	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287962-1_RON_Now_Mobile Android Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA(San Antonio-641)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_san antonio_rainy day_320x50_20416	383538737	207967817	83411277737	-	2/3/2016	3/13/2016	14	101249	16	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287962-1_RON_Now_Mobile Android Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA(San Antonio-641)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_san antonio_sunny_320x50_20416	383538737	207967817	83411278817	-	2/3/2016	3/13/2016	14	101249	4589	33	0.0072	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287962-1_RON_Now_Mobile Android Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA(San Antonio-641)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_san antonio_cloudy day_320x50_20416	383538737	207967817	83411281217	-	2/3/2016	3/13/2016	14	101249	203	2	0.0099	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100285768-1_RON_Now_Mobile Android Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Tampa St Petersburg-539)_GEO-IP Country(US)	2/7/2016	110737_Android_BB_Tampa_Clear Night_320x50_01272016	383538737	206321537	82658302337	-	1/27/2016	3/13/2016	14	164815	2382	17	0.0071	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100285768-1_RON_Now_Mobile Android Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Tampa St Petersburg-539)_GEO-IP Country(US)	2/7/2016	110737_Android_BB_Tampa_Cloudy Night_320x50_01272016	383538737	206321537	82658304497	-	1/27/2016	3/13/2016	14	164815	1580	21	0.0133	
